model_n_metric,acq,alum,austdlr,barley,bfr,bop,can,carcass,castor-oil,castorseed,citruspulp,cocoa,coconut,coconut-oil,coffee,copper,copra-cake,corn,corn-oil,cornglutenfeed,cotton,cotton-oil,cottonseed,cpi,cpu,crude,dfl,dkr,dlr,dmk,earn,f-cattle,fishmeal,fuel,gas,gnp,gold,grain,groundnut,groundnut-oil,heat,hog,housing,income,instal-debt,interest,inventories,ipi,iron-steel,jet,jobs,l-cattle,lead,lei,lin-meal,lin-oil,linseed,lit,livestock,lumber,meal-feed,money-fx,money-supply,naphtha,nat-gas,nickel,nkr,nzdlr,oat,oilseed,orange,palladium,palm-oil,palmkernel,pet-chem,platinum,plywood,pork-belly,potato,propane,rand,rape-meal,rape-oil,rapeseed,reserves,retail,rice,ringgit,rubber,rupiah,saudriyal,sfr,ship,silver,skr,sorghum,soy-meal,soy-oil,soybean,stg,strategic-metal,sugar,sun-meal,sun-oil,sunseed,tapioca,tea,tin,trade,veg-oil,wheat,wool,wpi,yen,zinc
Article_Count,1491.0,37.0,3.0,37.0,1.0,72.0,1.0,52.0,2.0,1.0,1.0,48.0,3.0,3.0,97.0,58.0,2.0,157.0,1.0,2.0,44.0,1.0,1.0,74.0,1.0,391.0,1.0,1.0,123.0,10.0,2566.0,2.0,2.0,19.0,36.0,111.0,90.0,411.0,9.0,1.0,15.0,20.0,10.0,10.0,3.0,278.0,5.0,40.0,45.0,5.0,48.0,4.0,26.0,10.0,1.0,2.0,2.0,1.0,74.0,12.0,40.0,461.0,88.0,5.0,89.0,8.0,2.0,2.0,6.0,134.0,18.0,2.0,27.0,2.0,30.0,7.0,3.0,1.0,5.0,4.0,1.0,1.0,6.0,25.0,49.0,15.0,46.0,1.0,28.0,1.0,3.0,2.0,195.0,22.0,1.0,27.0,20.0,19.0,80.0,11.0,19.0,118.0,2.0,6.0,15.0,4.0,9.0,23.0,348.0,98.0,206.0,2.0,15.0,40.0,30.0
DecisionTreeClassifier_accuracy,0.927603305785124,0.9966942148760329,0.9996694214876032,0.99900826446281,1.0,0.993388429752066,0.9993388429752066,0.9947107438016528,1.0,1.0,1.0,0.9993388429752066,0.9996694214876032,0.99801652892562,0.9976859504132232,0.9976859504132232,0.9996694214876032,0.9937190082644628,1.0,0.9996694214876032,0.9973553719008263,0.99900826446281,1.0,0.9930578512396694,0.9996694214876032,0.977190082644628,0.9996694214876032,1.0,0.9880991735537191,0.9983471074380166,0.9553719008264464,1.0,1.0,0.9953719008264464,0.9943801652892562,0.9920661157024794,0.993388429752066,0.9910743801652891,0.9993388429752066,0.9996694214876032,0.99900826446281,0.9996694214876032,0.9970247933884298,0.9986776859504132,0.99900826446281,0.9702479338842976,0.99900826446281,0.9953719008264464,0.9940495867768596,0.99900826446281,0.9966942148760329,0.9983471074380166,0.9976859504132232,0.9993388429752066,0.9996694214876032,1.0,1.0,0.9993388429752066,0.9930578512396694,0.99801652892562,0.9970247933884298,0.96099173553719,0.993388429752066,0.99900826446281,0.9904132231404958,1.0,1.0,0.99900826446281,0.9986776859504132,0.9910743801652891,0.9973553719008263,0.9993388429752066,0.9983471074380166,0.9993388429752066,0.9970247933884298,0.9986776859504132,0.9996694214876032,0.9993388429752066,1.0,0.99900826446281,0.99900826446281,0.9996694214876032,0.9996694214876032,0.99900826446281,0.9960330578512396,0.9963636363636365,0.9983471074380166,1.0,0.9976859504132232,1.0,1.0,0.9996694214876032,0.9854545454545456,0.9950413223140496,0.9996694214876032,0.99801652892562,0.9993388429752066,0.9970247933884298,0.9940495867768596,0.9983471074380166,0.9970247933884298,0.9973553719008263,0.9993388429752066,0.9996694214876032,0.9993388429752066,1.0,0.9986776859504132,0.9986776859504132,0.9709090909090908,0.9900826446280993,0.9960330578512396,0.9996694214876032,0.9986776859504132,0.993388429752066,0.9986776859504132
DecisionTreeClassifier_precision,0.8519108280254777,0.7272727272727273,0.0,0.7857142857142857,0.0,0.5909090909090909,0.0,0.6153846153846154,0.0,0.0,0.0,0.9090909090909092,1.0,0.0,0.8936170212765957,0.7727272727272727,0.0,0.8688524590163934,0.0,0.0,0.8,0.0,0.0,0.5769230769230769,0.0,0.7902097902097902,1.0,0.0,0.56,0.25,0.9367327667610954,1.0,0.0,0.2727272727272727,0.5555555555555556,0.7105263157894737,0.7272727272727273,0.9056603773584906,0.3333333333333333,0.0,0.8888888888888888,1.0,0.4444444444444444,0.0,0.3333333333333333,0.6666666666666666,0.0,0.5,0.5454545454545454,0.5,0.7142857142857143,0.0,0.75,1.0,0.0,0.0,0.0,0.0,0.7222222222222222,0.42857142857142855,0.5384615384615384,0.7064676616915423,0.7142857142857143,0.4,0.5813953488372093,1.0,0.0,0.0,0.8,0.6862745098039216,0.42857142857142855,0.3333333333333333,0.8125,0.0,0.625,0.5,0.0,0.5,1.0,0.0,0.0,0.0,1.0,0.8888888888888888,0.7727272727272727,0.2857142857142857,0.8947368421052632,0.0,0.875,0.0,0.0,0.5,0.7209302325581395,0.4444444444444444,0.0,0.5714285714285714,1.0,0.2,0.7142857142857143,0.6,1.0,0.9245283018867924,0.0,1.0,0.0,0.0,0.75,0.75,0.7482993197278912,0.575,0.9047619047619048,0.0,1.0,0.375,0.8461538461538461
DecisionTreeClassifier_recall,0.8093797276853253,0.8,0.0,1.0,0.0,0.5416666666666666,0.0,0.7272727272727273,0.0,0.0,0.0,1.0,0.6666666666666666,0.0,0.9545454545454546,0.8947368421052632,0.0,0.828125,0.0,0.0,0.7058823529411765,0.0,0.0,0.6,0.0,0.7434210526315791,0.5,0.0,0.6666666666666666,0.3333333333333333,0.9358490566037736,1.0,0.0,0.3333333333333333,0.5263157894736842,0.675,0.8,0.9230769230769232,1.0,0.0,0.8,0.8,0.5,0.0,0.5,0.7142857142857143,0.0,0.5714285714285714,0.6,0.3333333333333333,0.7894736842105263,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.7027027027027027,0.6,0.7,0.7064676616915423,0.7894736842105263,1.0,0.6944444444444444,1.0,0.0,0.0,0.5714285714285714,0.7608695652173914,0.42857142857142855,1.0,0.8666666666666667,0.0,0.4545454545454545,1.0,0.0,0.5,1.0,0.0,0.0,0.0,0.5,0.8,0.7083333333333334,0.25,0.85,0.0,0.7368421052631579,0.0,0.0,1.0,0.7560975609756098,0.6153846153846154,0.0,0.5714285714285714,0.6666666666666666,0.16666666666666666,0.6666666666666666,0.5,0.3076923076923077,0.9245283018867924,0.0,0.5,0.0,0.0,0.5,0.9,0.6832298136645962,0.6388888888888888,0.95,0.0,0.7142857142857143,0.375,0.8461538461538461
DecisionTreeClassifier_f1score,0.8301008533747091,0.7619047619047621,0.0,0.88,0.0,0.5652173913043478,0.0,0.6666666666666667,0.0,0.0,0.0,0.9523809523809524,0.8,0.0,0.9230769230769232,0.8292682926829269,0.0,0.8480000000000001,0.0,0.0,0.7500000000000001,0.0,0.0,0.5882352941176471,0.0,0.7661016949152543,0.6666666666666666,0.0,0.6086956521739131,0.2857142857142857,0.9362907031618688,1.0,0.0,0.3,0.5405405405405405,0.6923076923076923,0.7619047619047621,0.9142857142857144,0.5,0.0,0.8421052631578948,0.8888888888888891,0.4705882352941176,0.0,0.4,0.6896551724137929,0.0,0.5333333333333333,0.5714285714285713,0.4,0.7500000000000001,0.0,0.4615384615384616,0.5,0.0,0.0,0.0,0.0,0.7123287671232876,0.5,0.608695652173913,0.7064676616915423,0.7500000000000001,0.5714285714285715,0.6329113924050633,1.0,0.0,0.0,0.6666666666666666,0.7216494845360826,0.42857142857142855,0.5,0.8387096774193549,0.0,0.5263157894736842,0.6666666666666666,0.0,0.5,1.0,0.0,0.0,0.0,0.6666666666666666,0.8421052631578948,0.7391304347826088,0.26666666666666666,0.8717948717948718,0.0,0.7999999999999999,0.0,0.0,0.6666666666666666,0.7380952380952381,0.5161290322580646,0.0,0.5714285714285714,0.8,0.1818181818181818,0.6896551724137929,0.5454545454545454,0.4705882352941176,0.9245283018867924,0.0,0.6666666666666666,0.0,0.0,0.6,0.8181818181818182,0.7142857142857143,0.6052631578947367,0.9268292682926828,0.0,0.8333333333333333,0.375,0.8461538461538461
LogisticRegression_accuracy,0.9656198347107438,0.993388429752066,0.9996694214876032,0.9963636363636365,1.0,0.9930578512396694,0.9993388429752066,0.9927272727272728,1.0,1.0,1.0,0.9953719008264464,0.99900826446281,0.9986776859504132,0.9914049586776859,0.9943801652892562,0.9996694214876032,0.982809917355372,1.0,1.0,0.9943801652892562,0.9993388429752066,1.0,0.993388429752066,0.9996694214876032,0.9785123966942147,0.9993388429752066,1.0,0.9884297520661156,0.99900826446281,0.971900826446281,0.9996694214876032,1.0,0.9970247933884298,0.9937190082644628,0.9890909090909092,0.9917355371900828,0.9765289256198348,0.9996694214876032,0.9996694214876032,0.9966942148760329,0.9983471074380166,0.9973553719008263,0.9993388429752066,0.9993388429752066,0.9728925619834712,0.9996694214876032,0.9957024793388428,0.993388429752066,0.99900826446281,0.9937190082644628,0.9983471074380166,0.9970247933884298,0.99900826446281,1.0,1.0,1.0,0.9993388429752066,0.9884297520661156,0.9983471074380166,0.9966942148760329,0.9699173553719008,0.9894214876033058,0.9993388429752066,0.9900826446280993,0.99900826446281,1.0,0.9996694214876032,0.9976859504132232,0.9861157024793388,0.9976859504132232,0.9996694214876032,0.9950413223140496,0.9996694214876032,0.9963636363636365,0.9986776859504132,0.9996694214876032,0.9993388429752066,0.9996694214876032,0.9996694214876032,0.9996694214876032,1.0,0.9993388429752066,0.9970247933884298,0.9920661157024794,0.9973553719008263,0.993388429752066,1.0,0.9937190082644628,1.0,1.0,0.9996694214876032,0.9778512396694214,0.9957024793388428,1.0,0.9976859504132232,0.99801652892562,0.99801652892562,0.9904132231404958,0.99801652892562,0.9957024793388428,0.9904132231404958,1.0,0.9993388429752066,0.9993388429752066,1.0,0.99801652892562,0.9966942148760329,0.9765289256198348,0.9890909090909092,0.9861157024793388,1.0,0.9953719008264464,0.9947107438016528,0.9957024793388428
LogisticRegression_precision,0.9427662957074722,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9578947368421052,0.0,0.0,0.6842105263157895,0.0,0.9939209726443771,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9142857142857144,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8666666666666667,1.0,0.0,0.875,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9411764705882352,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9591836734693876,1.0,1.0,0.0,0.0,0.0,0.0
LogisticRegression_recall,0.897125567322239,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.4090909090909091,0.10526315789473684,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.5986842105263158,0.0,0.0,0.30952380952380953,0.0,0.9254716981132076,0.0,0.0,0.0,0.0,0.175,0.375,0.5448717948717948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4571428571428571,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054054054054054064,0.0,0.0,0.6467661691542289,0.15789473684210525,0.0,0.19444444444444445,0.0,0.0,0.0,0.0,0.08695652173913042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1951219512195122,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.4528301886792453,0.0,0.0,0.0,0.0,0.0,0.0,0.5838509316770186,0.08333333333333333,0.475,0.0,0.0,0.0,0.0
LogisticRegression_f1score,0.9193798449612404,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.4615384615384615,0.0,0.0,0.5806451612903226,0.1904761904761905,0.0,0.3157894736842105,0.0,0.0,0.0,0.0,0.0,0.33333333333333337,0.0,0.7368421052631579,0.0,0.0,0.4262295081967213,0.0,0.95847581827064,0.0,0.0,0.0,0.0,0.2978723404255319,0.5454545454545454,0.7053941908713693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6095238095238095,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10256410256410256,0.0,0.0,0.7407407407407409,0.2727272727272727,0.0,0.3181818181818182,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3232323232323233,0.0,0.0,0.0,0.0,0.0,0.06451612903225806,0.0,0.0,0.6233766233766235,0.0,0.0,0.0,0.0,0.0,0.0,0.7258687258687259,0.15384615384615385,0.6440677966101694,0.0,0.0,0.0,0.0
MultinomialNB_accuracy,0.8819834710743801,0.993388429752066,0.9996694214876032,0.9963636363636365,1.0,0.9920661157024794,0.9993388429752066,0.9927272727272728,1.0,1.0,1.0,0.993388429752066,0.99900826446281,0.9986776859504132,0.9854545454545456,0.9937190082644628,0.9996694214876032,0.9788429752066116,1.0,1.0,0.9943801652892562,0.9993388429752066,1.0,0.9917355371900828,0.9996694214876032,0.9500826446280992,0.9993388429752066,1.0,0.9861157024793388,0.99900826446281,0.9319008264462809,0.9996694214876032,1.0,0.9970247933884298,0.9937190082644628,0.9867768595041322,0.9867768595041322,0.9490909090909092,0.9996694214876032,0.9996694214876032,0.9966942148760329,0.9983471074380166,0.9973553719008263,0.9993388429752066,0.9993388429752066,0.9537190082644628,0.9996694214876032,0.9953719008264464,0.993388429752066,0.99900826446281,0.9937190082644628,0.9983471074380166,0.9970247933884298,0.99900826446281,1.0,1.0,1.0,0.9993388429752066,0.9877685950413224,0.9983471074380166,0.9966942148760329,0.9335537190082644,0.9874380165289256,0.9993388429752066,0.9880991735537191,0.99900826446281,1.0,0.9996694214876032,0.9976859504132232,0.984793388429752,0.9976859504132232,0.9996694214876032,0.9950413223140496,0.9996694214876032,0.9963636363636365,0.9986776859504132,0.9996694214876032,0.9993388429752066,0.9996694214876032,0.9996694214876032,0.9996694214876032,1.0,0.9993388429752066,0.9966942148760329,0.9920661157024794,0.9973553719008263,0.993388429752066,1.0,0.9937190082644628,1.0,1.0,0.9996694214876032,0.9728925619834712,0.9957024793388428,1.0,0.9976859504132232,0.99801652892562,0.99801652892562,0.9900826446280993,0.99801652892562,0.9957024793388428,0.9824793388429752,1.0,0.9993388429752066,0.9993388429752066,1.0,0.99801652892562,0.9966942148760329,0.9467768595041324,0.9880991735537191,0.9735537190082644,1.0,0.9953719008264464,0.9947107438016528,0.9957024793388428
